date,diff,pval,ratio,fdr
July 6,6.18323568947333,1.68276952494732e-37,1.24362033882176,2.01932342993679e-36
Aug 12,2.75682758139778,3.7162509439891e-05,1.09077384522349,7.4325018879782e-05
Aug 14,-0.0311950791728889,0.967368472935932,1.03801927393534,0.967368472935932
Aug 16,1.99137297324,0.00729092006284388,1.06560139528439,0.00874910407541266
Aug 20,2.41332782925555,0.00156587396659096,1.10243038592659,0.00268435537129879
Aug 22,3.53675358001333,3.89877201656662e-07,1.12621617334914,1.16963160496999e-06
Aug 23,3.83392440194889,1.34989580389233e-07,1.11255418545843,5.39958321556931e-07
Aug 26,4.31060073412444,3.61236486519139e-09,1.10809432826528,2.16741891911483e-08
Aug 30,2.20820667917644,0.00716190981305887,1.11837726323656,0.00874910407541266
Sept 1,3.85986006615089,6.34079189986333e-06,1.17121577434591,1.5217900559672e-05
Sept 3,1.86877185550222,0.00489383627323235,1.09132470498112,0.00734075440984852
Sept 5,1.30996052326911,0.0513710069640736,1.15434947074533,0.0560410985062621
